fold,run_id,route,duration_s,model_err_m,baseline_err_m,oracle_err_m,model_drift_pct
0,S-M#0,M/M (Driver B),10.0,27.55,117.403,5.848,19.727
0,S-M#0,M/M (Driver B),10.0,17.216,28.223,4.949,10.363
0,S-M#0,M/M (Driver B),10.0,39.925,92.552,3.591,25.763
0,S-M#0,M/M (Driver B),10.0,36.577,123.043,0.975,17.519
0,S-M#0,M/M (Driver B),10.0,26.434,105.899,2.464,22.381
0,S-M#0,M/M (Driver B),10.0,14.714,26.454,6.522,13.133
0,S-M#0,M/M (Driver B),10.0,12.632,146.367,0.631,11.417
0,S-M#0,M/M (Driver B),10.0,33.88,48.686,3.866,18.412
0,S-M#0,M/M (Driver B),10.0,8.895,76.654,1.294,5.256
0,S-M#0,M/M (Driver B),10.0,27.709,59.433,3.681,21.001
0,S-M#0,M/M (Driver B),10.0,19.512,18.363,2.143,16.88
0,S-M#0,M/M (Driver B),10.0,28.549,55.943,1.908,23.054
0,S-M#0,M/M (Driver B),10.0,3.483,12.177,2.735,2.553
0,S-M#0,M/M (Driver B),10.0,24.949,18.345,2.225,13.86
0,S-M#0,M/M (Driver B),10.0,39.671,84.829,2.943,40.116
0,S-M#0,M/M (Driver B),10.0,15.62,6.284,8.978,235.058
0,S-M#0,M/M (Driver B),10.0,40.02,146.024,6.374,30.489
0,S-M#0,M/M (Driver B),10.0,20.594,72.822,2.899,12.03
0,S-M#0,M/M (Driver B),10.0,40.636,33.226,3.688,26.567
0,S-M#0,M/M (Driver B),10.0,12.722,66.854,1.684,12.326
0,S-M#0,M/M (Driver B),10.0,1.29,15.906,0.909,0.869
0,S-M#0,M/M (Driver B),10.0,31.269,118.596,1.975,16.107
0,S-M#0,M/M (Driver B),10.0,33.321,76.565,2.502,26.238
0,S-M#0,M/M (Driver B),10.0,3.808,38.447,2.443,2.775
0,S-M#0,M/M (Driver B),10.0,24.994,159.404,2.198,21.687
0,S-M#0,M/M (Driver B),10.0,17.79,58.216,2.464,15.431
0,S-M#0,M/M (Driver B),10.0,78.916,50.362,86.788,158.779
0,S-M#0,M/M (Driver B),10.0,6.039,62.755,2.564,5.144
0,S-M#0,M/M (Driver B),10.0,13.846,15.064,0.372,11.169
0,S-M#0,M/M (Driver B),10.0,50.303,44.789,0.563,27.82
0,S-M#0,M/M (Driver B),10.0,41.152,35.775,0.917,123.958
0,S-M#0,M/M (Driver B),10.0,9.755,34.726,1.455,8.949
0,S-M#0,M/M (Driver B),10.0,4.458,37.669,0.614,3.771
0,S-M#0,M/M (Driver B),10.0,5.752,1.778,1.948,4.498
0,S-M#0,M/M (Driver B),10.0,20.52,74.07,3.064,16.567
0,S-M#0,M/M (Driver B),10.0,14.396,67.184,0.382,12.927
0,S-M#0,M/M (Driver B),10.0,15.874,23.932,1.244,20.177
0,S-M#0,M/M (Driver B),10.0,3.34,54.408,1.321,7.241
0,S-M#0,M/M (Driver B),10.0,5.527,15.459,0.362,5.337
0,S-M#0,M/M (Driver B),10.0,5.664,28.886,1.584,5.2
